id,value
id_0,25.6517539423
id_1,63.9940515193
id_2,18.0282556374
id_3,29.0011094325
id_4,9.57866878863
id_5,33.0821618951
id_6,39.3125774965
id_7,18.820912805
id_8,53.2511416723
id_9,32.6480547953
id_10,38.959315924
id_11,59.3765692905
id_12,35.5242710507
id_13,41.850223427
id_14,26.4136212955
id_15,13.3176754086
id_16,51.7686443258
id_17,24.8770407036
id_18,18.9198570687
id_19,20.8490488969
id_20,17.5296746069
id_21,31.8670381464
id_22,38.81711987
id_23,10.910688678
id_24,61.3456025707
id_25,46.7776767296
id_26,29.3794795166
id_27,6.22032634068
id_28,27.2685807927
id_29,38.8364531628
id_30,18.6533114985
id_31,12.036493671
id_32,16.9861582421
id_33,7.0933041195
id_34,15.4035686328
id_35,38.3463072602
id_36,21.4546726036
id_37,28.8909521481
id_38,4.08856884467
id_39,60.7338170236
id_40,48.1601261792
id_41,20.308781235
id_42,51.9130364689
id_43,20.5663827369
id_44,45.1413644372
id_45,48.1594064
id_46,57.3228950721
id_47,41.4685519269
id_48,56.2518290822
id_49,39.4635947583
id_50,31.3549619587
id_51,24.4494060059
id_52,40.0063811518
id_53,23.5343047988
id_54,37.4969002971
id_55,37.7817914097
id_56,26.1339600309
id_57,21.947183421
id_58,35.9329301208
id_59,31.3575497236
id_60,13.3153524532
id_61,20.8199303454
id_62,31.7998203359
id_63,52.7814914192
id_64,51.3358621489
id_65,26.0896417483
id_66,38.1962918147
id_67,52.9827299286
id_68,28.7672635913
id_69,39.8926185086
id_70,64.242450516
id_71,54.9269521053
id_72,40.2640911276
id_73,14.2918864368
id_74,13.7890508888
id_75,35.8215080112
id_76,62.0004780236
id_77,3.64579469717
id_78,40.3246010856
id_79,42.5000091393
id_80,7.93849575714
id_81,22.9826015245
id_82,4.38522177586
id_83,30.7163303151
id_84,9.09321618197
id_85,5.9843946785
id_86,17.1630518521
id_87,9.16312108792
id_88,20.385292811
id_89,25.6882720649
id_90,35.3943767067
id_91,11.9691088178
id_92,11.6987426126
id_93,9.82335409624
id_94,38.0959488382
id_95,14.479697843
id_96,16.171261008
id_97,8.59392182761
id_98,12.490100436
id_99,4.51301459446
id_100,8.87935375333
id_101,17.9783648499
id_102,12.4041493871
id_103,8.20460861942
id_104,13.2143291149
id_105,36.1264664743
id_106,25.9536178743
id_107,7.49138897507
id_108,16.7901868135
id_109,15.8761643821
id_110,12.344006679
id_111,17.5401355424
id_112,15.8197503901
id_113,26.3414701983
id_114,19.6292823133
id_115,16.8831289005
id_116,6.17433120834
id_117,46.6530132719
id_118,25.0624377827
id_119,0.337075555153
id_120,-1.88928380295
id_121,8.96035585298
id_122,12.4874867495
id_123,13.6861985221
id_124,6.95310332802
id_125,25.0812782843
id_126,20.1919752655
id_127,10.3817796287
id_128,21.375541287
id_129,14.1172805119
id_130,-1.80179644966
id_131,33.0660837532
id_132,13.4555654029
id_133,20.714530357
id_134,26.0824358499
id_135,23.8979841317
id_136,9.87566184034
id_137,21.8719642979
id_138,78.3614019255
id_139,60.489187676
id_140,27.0574393161
id_141,19.0182033356
id_142,24.5775538299
id_143,7.47349675212
id_144,12.2872510059
id_145,10.6150775083
id_146,19.4646749716
id_147,8.53083250895
id_148,12.150583217
id_149,14.0126433823
id_150,45.864337955
id_151,20.8035224514
id_152,21.8956617587
id_153,15.009088875
id_154,13.3323197781
id_155,24.6719245835
id_156,25.8734224525
id_157,36.2774670645
id_158,5.6569217173
id_159,23.3255998416
id_160,41.2901769762
id_161,20.1568090928
id_162,64.5630322411
id_163,17.0920108084
id_164,33.5423114762
id_165,23.6993814483
id_166,24.1334336076
id_167,0.436680298401
id_168,65.8063287861
id_169,15.6297909396
id_170,16.7455418072
id_171,68.9419760551
id_172,20.2401001624
id_173,2.25847414122
id_174,24.7835687728
id_175,-0.119387253101
id_176,7.27536084489
id_177,18.5672422378
id_178,19.80449468
id_179,24.0344839054
id_180,43.8318840204
id_181,31.9104258496
id_182,27.3775690112
id_183,13.2162706971
id_184,6.41763412084
id_185,42.3387072333
id_186,35.6577321364
id_187,34.9436771332
id_188,18.210427674
id_189,23.5328603784
id_190,14.9978340704
id_191,17.5811150439
id_192,31.2816414516
id_193,60.3937175376
id_194,28.7857324747
id_195,10.1990438864
id_196,63.5995554412
id_197,16.8996099954
id_198,20.9009348971
id_199,20.8115355014
id_200,122.852062016
id_201,22.664468791
id_202,58.3226425246
id_203,6.3563632677
id_204,59.8767178373
id_205,35.7894572953
id_206,14.940935919
id_207,14.1872178925
id_208,62.5736476823
id_209,14.8012332321
id_210,37.3283866506
id_211,68.1741433475
id_212,18.8902237308
id_213,113.494021005
id_214,41.2550783885
id_215,78.313320663
id_216,89.5777486189
id_217,73.505121978
id_218,31.8034849468
id_219,19.279697694
id_220,29.3282447209
id_221,56.4165714938
id_222,28.3095149794
id_223,38.785088872
id_224,42.7290845156
id_225,10.9838094471
id_226,2.67975721168
id_227,80.3882060257
id_228,31.4276531386
id_229,1.32183155132
id_230,42.0133591383
id_231,16.3786455642
id_232,22.3870723159
id_233,7.26251649421
id_234,12.3985894398
id_235,24.4893881622
id_236,14.2287567424
id_237,3.24794614781
id_238,22.762508462
id_239,12.6668973136
